sub_id,start,end,n_points,duration,amplitude,mean_speed,max_speed,mean_press,std_press,mean_curvature,beta,ellipse,beta_A,beta_a,beta_b,beta_t0,beta_t1,ell_a,ell_angle_rad,ell_b,ell_ecc,ell_xc,ell_yc,ell_success,beta_success
0,0,8,9,60.0,8.5,0.13076222928000084,0.2795084971874737,255.33333333333334,118.84443613396463,0.0,"{'A': 0.45546074676128684, 't0': 0.49999999999999994, 't1': 60.49999999999999, 'a': 0.3209308677687926, 'b': 0.9963560757992243}","{'xc': 2083.588512327638, 'yc': -14.909752610271717, 'a': nan, 'b': 8116.006576023339, 'angle_rad': 1.5642766824125711, 'ecc': 0.0}",0.45546074676128684,0.3209308677687926,0.9963560757992243,0.49999999999999994,60.49999999999999,,1.5642766824125711,8116.006576023339,0.0,2083.588512327638,-14.909752610271717,True,True
1,9,31,23,166.0,57.92332096065549,0.3512815323264894,0.557366662415206,594.7391304347826,41.23129591518862,0.0,"{'A': 0.809963140150684, 't0': 67.49999999999999, 't1': 233.49999999999997, 'a': 0.8354358759818916, 'b': 0.14941747025175864}","{'xc': 4166.763479231354, 'yc': -55.67458317049318, 'a': nan, 'b': 710.7372584907907, 'angle_rad': 0.6619470200522796, 'ecc': 0.0}",0.809963140150684,0.8354358759818916,0.14941747025175864,67.49999999999999,233.49999999999997,,0.6619470200522796,710.7372584907907,0.0,4166.763479231354,-55.67458317049318,True,True
2,32,43,12,83.0,52.64239947250015,0.6254540381493274,0.7751819331475625,594.6666666666666,17.327504847566033,0.0,"{'A': 0.8298528784753406, 't0': 239.90000000000003, 't1': 323.49999999999994, 'a': 0.15591314223832894, 'b': 0.10000000000000002}","{'xc': 2068.4835930239747, 'yc': -41.428660770711765, 'a': nan, 'b': 3211.5768974768557, 'angle_rad': 1.5500642368587376, 'ecc': 0.0}",0.8298528784753406,0.15591314223832894,0.10000000000000002,239.90000000000003,323.49999999999994,,1.5500642368587376,3211.5768974768557,0.0,2068.4835930239747,-41.428660770711765,True,True
3,44,53,10,68.0,43.678115547465694,0.6535069276053396,0.8095238095237879,604.4,10.458383134011575,0.0,"{'A': 0.8925359033501874, 't0': 329.90000000000003, 't1': 398.49999999999994, 'a': 0.10000000000000002, 'b': 0.1871030484209344}","{'xc': 4056.202814178768, 'yc': -98.01965365292348, 'a': nan, 'b': 4338.461778785659, 'angle_rad': 1.5285757241056463, 'ecc': 0.0}",0.8925359033501874,0.10000000000000002,0.1871030484209344,329.90000000000003,398.49999999999994,,1.5285757241056463,4338.461778785659,0.0,4056.202814178768,-98.01965365292348,True,True
4,54,74,21,151.0,105.33808006182336,0.7222578355342285,1.0224243120754024,667.952380952381,24.622096154625403,0.0,"{'A': 1.0685985941632399, 't0': 404.90000000000003, 't1': 556.4999999999999, 'a': 0.3062952298394215, 'b': 0.10000000000000002}","{'xc': 4001.436020735016, 'yc': -117.74738415069787, 'a': nan, 'b': 1408.1475610880134, 'angle_rad': 0.8703547631216711, 'ecc': 0.0}",1.0685985941632399,0.3062952298394215,0.10000000000000002,404.90000000000003,556.4999999999999,,0.8703547631216711,1408.1475610880134,0.0,4001.436020735016,-117.74738415069787,True,True
5,75,93,19,136.0,118.734063258097,0.8704927297431151,1.0519391444940223,744.8947368421053,12.119290118751023,0.0,"{'A': 1.1131331222505965, 't0': 562.9000000000001, 't1': 699.4999999999999, 'a': 0.1346839131949564, 'b': 0.10000000000000002}","{'xc': 3653.2712529597884, 'yc': 45.09137609759723, 'a': 2281.768719538072, 'b': nan, 'angle_rad': -1.5689993288337274, 'ecc': 0.0}",1.1131331222505965,0.1346839131949564,0.10000000000000002,562.9000000000001,699.4999999999999,2281.768719538072,-1.5689993288337274,,0.0,3653.2712529597884,45.09137609759723,True,True
6,94,105,12,83.0,74.27651041883969,0.9257307353200251,1.1106575037800561,788.6666666666666,23.891167380182132,0.0,"{'A': 1.1808897491992003, 't0': 705.9000000000001, 't1': 789.4999999999999, 'a': 0.10000000000000002, 'b': 0.1281222021429917}","{'xc': 3891.078049601283, 'yc': 91.7571901232565, 'a': 1803.8897420220374, 'b': nan, 'angle_rad': 0.27259293855718725, 'ecc': 0.0}",1.1808897491992003,0.10000000000000002,0.1281222021429917,705.9000000000001,789.4999999999999,1803.8897420220374,0.27259293855718725,,0.0,3891.078049601283,91.7571901232565,True,True
7,106,113,8,53.0,63.08547992825115,1.1669931656200039,1.4158160711731493,832.0,10.1418510567422,0.0,"{'A': 1.4763502933468409, 't0': 795.9000000000001, 't1': 849.4999999999999, 'a': 0.10318158782138412, 'b': 0.10000000000000002}","{'xc': 4077.105024296492, 'yc': 248.21898274114682, 'a': 2415.7930910446444, 'b': nan, 'angle_rad': 0.3385766969588507, 'ecc': 0.0}",1.4763502933468409,0.10318158782138412,0.10000000000000002,795.9000000000001,849.4999999999999,2415.7930910446444,0.3385766969588507,,0.0,4077.105024296492,248.21898274114682,True,True
8,114,122,9,61.0,61.720697050862995,1.0642642362652368,1.4459263286370867,790.1111111111111,6.716480559869962,0.0,"{'A': 1.4246998832961684, 't0': 855.9000000000001, 't1': 917.4999999999999, 'a': 0.10000000000000002, 'b': 0.18009025396383732}","{'xc': 4138.027701316261, 'yc': 222.8500816898136, 'a': 2450.8133528984813, 'b': nan, 'angle_rad': 0.297188596970274, 'ecc': 0.0}",1.4246998832961684,0.10000000000000002,0.18009025396383732,855.9000000000001,917.4999999999999,2450.8133528984813,0.297188596970274,,0.0,4138.027701316261,222.8500816898136,True,True
9,123,130,8,53.0,51.350646431070935,0.9791982152021617,1.0962728031638505,805.75,12.82575533838066,0.0,"{'A': 1.2241305582760826, 't0': 923.9000000000001, 't1': 977.4999999999999, 'a': 0.10000000000000436, 'b': 0.10000000000000002}","{'xc': 4246.747456122612, 'yc': 216.93421506379977, 'a': nan, 'b': 2100.6317974949757, 'angle_rad': -1.1753572850042808, 'ecc': 0.0}",1.2241305582760826,0.10000000000000436,0.10000000000000002,923.9000000000001,977.4999999999999,,-1.1753572850042808,2100.6317974949757,0.0,4246.747456122612,216.93421506379977,True,True
10,131,140,10,68.0,67.50884715683127,1.0241943245341854,1.2706346727739788,790.4,25.769059828492857,0.0,"{'A': 1.4150122753237315, 't0': 983.9000000000001, 't1': 1052.4999999999998, 'a': 0.10000000000000002, 'b': 0.21005757212960055}","{'xc': 2115.0107100916352, 'yc': 64.59784715021009, 'a': nan, 'b': 3145.196982008171, 'angle_rad': -1.5257275377603778, 'ecc': 0.0}",1.4150122753237315,0.10000000000000002,0.21005757212960055,983.9000000000001,1052.4999999999998,,-1.5257275377603778,3145.196982008171,0.0,2115.0107100916352,64.59784715021009,True,True
11,141,151,11,76.0,63.439384892632184,0.8454586329547088,0.9770611680325347,818.8181818181819,29.495145979697003,0.0,"{'A': 1.0558966533955079, 't0': 1058.9000000000003, 't1': 1135.4999999999998, 'a': 0.10000000000000002, 'b': 0.10086735196701448}","{'xc': 2057.455152649033, 'yc': 5.354068940618409, 'a': nan, 'b': 8869.746215265232, 'angle_rad': -1.5292489724576341, 'ecc': 0.0}",1.0558966533955079,0.10000000000000002,0.10086735196701448,1058.9000000000003,1135.4999999999998,,-1.5292489724576341,8869.746215265232,0.0,2057.455152649033,5.354068940618409,True,True
12,152,159,8,53.0,56.238579087471415,1.0473693615538213,1.2571789316613595,900.75,29.80771712157776,0.0,"{'A': 1.3190957073457243, 't0': 1141.9000000000003, 't1': 1195.4999999999998, 'a': 0.10000000000069788, 'b': 0.10000000000000002}","{'xc': 2153.8047545569957, 'yc': -71.50622532410586, 'a': nan, 'b': 13434.852348376538, 'angle_rad': -1.5240372707702046, 'ecc': 0.0}",1.3190957073457243,0.10000000000069788,0.10000000000000002,1141.9000000000003,1195.4999999999998,,-1.5240372707702046,13434.852348376538,0.0,2153.8047545569957,-71.50622532410586,True,True
13,160,167,8,53.0,64.28841264178172,1.2344923986742602,1.355261854357877,1004.75,14.200100603265357,0.0,"{'A': 1.548501374979708, 't0': 1201.9000000000003, 't1': 1255.4999999999998, 'a': 0.10000000000000002, 'b': 0.10000000042662188}","{'xc': 2186.9867336927705, 'yc': -21.51462702479859, 'a': nan, 'b': 757186.34290641, 'angle_rad': -1.5697237128009234, 'ecc': 0.0}",1.548501374979708,0.10000000000000002,0.10000000042662188,1201.9000000000003,1255.4999999999998,,-1.5697237128009234,757186.34290641,0.0,2186.9867336927705,-21.51462702479859,True,True
14,168,175,8,53.0,65.02136401043721,1.2352408038242588,1.336730366439832,1024.5,12.994504332876375,0.0,"{'A': 1.5490188621876053, 't0': 1261.9000000000003, 't1': 1315.4999999999998, 'a': 0.10000000000064448, 'b': 0.10000000000164334}","{'xc': 2056.6948726473074, 'yc': -5.606815643456342, 'a': 342536.60350469174, 'b': nan, 'angle_rad': -0.0029424890237156947, 'ecc': 0.0}",1.5490188621876053,0.10000000000064448,0.10000000000164334,1261.9000000000003,1315.4999999999998,342536.60350469174,-0.0029424890237156947,,0.0,2056.6948726473074,-5.606815643456342,True,True
15,176,188,13,91.0,142.62694150981596,1.567519611792254,1.7561037061510356,959.4615384615385,50.4457057713462,0.0,"{'A': 1.9493686914056134, 't0': 1321.9000000000003, 't1': 1413.4999999999998, 'a': 0.10000000000001794, 'b': 0.1000000000000052}","{'xc': 1578.91061096013, 'yc': 294.2679681862506, 'a': nan, 'b': 8002.35901894968, 'angle_rad': 1.452267318772384, 'ecc': 0.0}",1.9493686914056134,0.10000000000001794,0.1000000000000052,1321.9000000000003,1413.4999999999998,,1.452267318772384,8002.35901894968,0.0,1578.91061096013,294.2679681862506,True,True
